Depth,APIcounts,Th_ppm,U_ppm,K_percent
10574.8,243.232,4.633,10.21,0.76
10575.27,280.321,6.084,12.692,0.654
10575.75,382.015,4.857,18.329,0.616
10576.22,356.604,2.299,17.763,0.652
10576.7,233.4,0.779,11.661,0.427
10577.17,164.434,1.285,7.514,0.264
10577.65,183.164,3.251,8.008,0.245
10578.12,208.039,3.98,10.48,0.257
10578.6,226.626,2.259,11.994,0.313
10579.07,298.447,2.723,17.139,0.35
10579.54,365.06,2.647,20.122,0.396
10580.02,378.373,2.856,19.808,0.301
10580.49,315.067,2.258,16.048,0.292
10580.97,228.854,2.383,11.346,0.124
10581.44,205.728,2.415,9.883,0.203
10581.92,237.394,2.765,11.528,0.313
10582.39,202.882,1.702,10.699,0.226
10582.87,206.833,1.912,10.078,0.308
10583.34,222.7,2.163,11.854,0.33
10583.82,234.999,2.457,11.803,0.42
10584.29,228.695,1.854,12.401,0.29
10584.76,218.773,2.463,12.312,0.166
10585.24,211.078,1.495,12.049,0.174
10585.71,191.001,2.429,9.719,0.15
10586.19,169.349,2.754,8.449,0.078
10586.66,168.545,1.263,8.614,0.154
10587.14,147.438,0.434,6.765,0.146
10587.61,112.39,0.52,4.646,0.06
10588.09,62.371,1.437,2.382,0.048
10588.56,44.361,1.15,1.299,0.11
10589.03,67.839,1.128,2.127,0.143
10589.51,99.831,1.887,4.033,0.063
10589.98,118.142,1.091,5.231,0.029
10590.46,104.687,1.696,3.687,0.091
10590.93,135.808,1.911,6.43,0.141
10591.41,290.602,3.339,16.624,0.117
10591.88,310.772,3.122,17.374,0.124
10592.36,242.811,1.613,14.486,0.106
10592.83,319.873,2.401,18.523,0.136
10593.3,340.143,3.453,17.212,0.176
10593.78,231.466,1.159,12.751,0.098
10594.25,218.907,0.609,12.481,0.055
10594.73,185.349,1.02,10.461,0.109
10595.2,213.733,1.393,11.109,0.282
10595.68,192.206,1.044,9.124,0.333
10596.15,123.592,0.73,6.25,0.231
10596.63,93.509,0.777,4.993,0.15
10597.1,163.923,2.05,8.792,0.274
10597.58,231.96,1.865,12.139,0.205
10598.05,215.549,1.405,10.713,0.227
10598.52,136.737,1.488,7.499,0.158
10599,180.032,1.503,10.923,0.118
10599.47,213.004,0.986,11.65,0.216
10599.95,114.675,0.745,6.12,0.166
10600.42,88.653,0.61,4.781,0.151
10600.9,124.471,1.162,6.507,0.105
10601.37,141.619,0.568,8.079,0.157
10601.85,124.547,0.853,6.184,0.223
