Runs	oilvis	dtmax	kvkh	mflt1	mflt2	mflt3	mflt4	oilexp	owc	sorw	swc	watexp	scen	prop	size	perm	poro
run1	9.7737400000	365.0000000000	0.0100000000	0.7257840000	0.1813240000	0.5855050000	0.2507560000	2.4394700000	-1069.9400000000	0.2432240000	0.2452080000	2.0571500000	2.0000000000	37.6846000000	285.3020000000	658	433
run2	7.8849700000	182.5000000000	0.1000000000	0.6305820000	0.8509530000	0.9965020000	0.5575390000	2.9969000000	-1073.1800000000	0.2238340000	0.1262240000	2.1589900000	1.0000000000	30.0183000000	259.7640000000	808	302
run3	7.6541000000	91.2500000000	0.1000000000	0.1315100000	0.1419870000	0.2866120000	0.6833060000	2.7359000000	-1065.4100000000	0.2816630000	0.2768900000	2.1971900000	1.0000000000	44.0977000000	140.6380000000	421	641
run4	10.6147000000	91.2500000000	0.0010000000	0.1405660000	0.2526420000	0.8680340000	0.0025300200	2.8382400000	-1066.9600000000	0.2051530000	0.1726750000	2.0078500000	2.0000000000	43.7260000000	201.0040000000	307	641
run5	10.7058000000	182.5000000000	0.1000000000	0.6875680000	0.6745840000	0.9225950000	0.8188890000	2.2853500000	-1066.1500000000	0.2456150000	0.0955374000	1.8767400000	3.0000000000	42.9936000000	206.6560000000	420	496
run6	11.5488000000	182.5000000000	0.0100000000	0.6519160000	0.0236272000	0.9211310000	0.6703840000	3.2389600000	-1074.9100000000	0.2878370000	0.1519130000	2.0483200000	1.0000000000	34.5009000000	213.8030000000	660	433
run7	11.0882000000	182.5000000000	0.0100000000	0.8697710000	0.5704260000	0.2288260000	0.4436590000	2.8240600000	-1070.8300000000	0.2087440000	0.2457140000	1.9644200000	2.0000000000	44.1276000000	190.6160000000	420	641
run8	6.8565200000	91.2500000000	0.0100000000	0.7336440000	0.9958580000	0.6828260000	0.1932280000	3.3056500000	-1070.2800000000	0.2627930000	0.2578620000	2.0490800000	3.0000000000	34.2384000000	198.6240000000	747	370
run9	9.0939600000	91.2500000000	0.1000000000	0.9144700000	0.3738230000	0.1093820000	0.4661190000	3.2768300000	-1073.2300000000	0.1591120000	0.1343730000	1.9730900000	3.0000000000	36.8099000000	277.2330000000	658	446
run10	7.7041900000	365.0000000000	0.0100000000	0.3507060000	0.8577960000	0.9034150000	0.0845509000	3.0729400000	-1066.2400000000	0.2013180000	0.1796070000	1.9594800000	3.0000000000	31.7499000000	175.4050000000	808	302
run11	9.1566800000	182.5000000000	0.0100000000	0.2760020000	0.9031660000	0.0529837000	0.2299090000	2.8441000000	-1071.8900000000	0.2395200000	0.0844380000	1.8028700000	1.0000000000	31.1536000000	209.2440000000	808	269
run12	9.0410100000	365.0000000000	0.0010000000	0.2266090000	0.6738910000	0.7207230000	0.6970270000	2.7909000000	-1074.7300000000	0.1733790000	0.1794170000	2.1049500000	3.0000000000	31.4667000000	131.3490000000	808	370
run13	9.4700300000	182.5000000000	0.0010000000	0.0616113000	0.1347200000	0.4924890000	0.8256540000	3.7303600000	-1070.2600000000	0.2015260000	0.1824810000	1.8876300000	2.0000000000	44.5000000000	150.9050000000	191	646
run14	10.7504000000	91.2500000000	0.0100000000	0.1359230000	0.9590040000	0.4339190000	0.7980770000	3.0849900000	-1061.1700000000	0.1536820000	0.2164480000	2.0485500000	1.0000000000	35.1845000000	242.9610000000	708	391
run15	9.6665600000	365.0000000000	0.0010000000	0.4666480000	0.7068800000	0.4778430000	0.9849850000	3.0492800000	-1061.8300000000	0.2714920000	0.1049970000	2.1708600000	3.0000000000	44.4713000000	177.8830000000	423	541
run16	10.5990000000	365.0000000000	0.1000000000	0.0180879000	0.4718110000	0.3638300000	0.0266397000	2.9681400000	-1067.7300000000	0.1730160000	0.1766710000	2.0740200000	2.0000000000	41.5842000000	100.8730000000	421	496
run17	12.7282000000	365.0000000000	0.1000000000	0.6283410000	0.6473800000	0.6785720000	0.3772550000	3.2282700000	-1070.8000000000	0.1586210000	0.2843440000	2.0629100000	1.0000000000	49.5624000000	283.7580000000	69	703
run18	9.2786900000	182.5000000000	0.0010000000	0.7780460000	0.6924450000	0.5103760000	0.8491150000	2.6048300000	-1073.5700000000	0.1451840000	0.1916860000	2.0727500000	2.0000000000	42.3063000000	265.0200000000	420	641
run19	7.2605500000	365.0000000000	0.0100000000	0.4541870000	0.5187130000	0.8060640000	0.7854920000	2.9929500000	-1068.1300000000	0.1934300000	0.2495400000	1.8636800000	1.0000000000	31.2775000000	297.5710000000	664	387
run20	8.4191700000	365.0000000000	0.0010000000	0.9622920000	0.1361890000	0.4279430000	0.3787240000	2.9378300000	-1062.5500000000	0.1375860000	0.0974164000	2.0072300000	1.0000000000	41.3596000000	140.3880000000	522	496
run21	12.6727000000	91.2500000000	0.0100000000	0.9862060000	0.7769870000	0.9777530000	0.8910510000	3.0930500000	-1066.0000000000	0.1935580000	0.2093980000	2.0605800000	3.0000000000	49.5703000000	244.7620000000	180	648
run22	9.8492500000	182.5000000000	0.0010000000	0.0655716000	0.8090540000	0.7812270000	0.5986770000	3.3148200000	-1071.6000000000	0.2501420000	0.2301350000	2.0446100000	1.0000000000	38.8266000000	145.7660000000	657	433
run23	7.7620500000	182.5000000000	0.1000000000	0.4446970000	0.7678470000	0.0000182732	0.5320550000	2.9753700000	-1064.6000000000	0.1857020000	0.2402680000	2.1234800000	2.0000000000	48.8202000000	202.9820000000	190	680
run24	9.8057500000	365.0000000000	0.0100000000	0.3146560000	0.7133900000	0.2647620000	0.9981810000	2.8986200000	-1074.4500000000	0.2720500000	0.1272090000	1.9828000000	1.0000000000	48.4558000000	185.7630000000	216	659
run25	3.7750700000	91.2500000000	0.0100000000	0.4297920000	0.9789090000	0.9749120000	0.1481640000	2.7276900000	-1069.6900000000	0.2409880000	0.2702460000	2.0320000000	1.0000000000	48.3337000000	296.4350000000	307	646
run26	9.9588500000	91.2500000000	0.0100000000	0.3860100000	0.3397450000	0.8642770000	0.9036350000	3.1263300000	-1063.2000000000	0.2211630000	0.2150090000	1.8927600000	1.0000000000	40.9738000000	125.9280000000	421	532
run27	10.6841000000	91.2500000000	0.0010000000	0.2531330000	0.3172490000	0.0260877000	0.2786550000	3.4105700000	-1074.9400000000	0.2025450000	0.2302780000	2.2646100000	1.0000000000	42.5932000000	153.0290000000	426	496
run28	11.6658000000	182.5000000000	0.0100000000	0.7815110000	0.0153132000	0.5012940000	0.0076115800	2.9510200000	-1063.3500000000	0.2407070000	0.1604790000	2.0603100000	1.0000000000	38.5354000000	276.6290000000	463	536
run29	9.3408600000	365.0000000000	0.1000000000	0.1204450000	0.4335070000	0.6163160000	0.3673730000	3.3349400000	-1066.1900000000	0.1572950000	0.2273090000	1.8267000000	2.0000000000	30.2716000000	218.5580000000	774	302
run30	12.1356000000	91.2500000000	0.1000000000	0.5394120000	0.4722760000	0.0654015000	0.5488580000	2.7221300000	-1075.9200000000	0.2145570000	0.2259110000	1.9189900000	1.0000000000	42.2770000000	150.9410000000	420	496
run31	13.7303000000	182.5000000000	0.1000000000	0.1241250000	0.5285520000	0.0855089000	0.7543010000	3.0461800000	-1065.2700000000	0.2152480000	0.1847500000	2.0479900000	3.0000000000	38.6636000000	239.4150000000	523	434
run32	10.7287000000	91.2500000000	0.0100000000	0.1838920000	0.1199820000	0.7191270000	0.6553610000	2.8805100000	-1068.3500000000	0.2487270000	0.1902460000	1.9138000000	3.0000000000	36.3381000000	205.0200000000	658	433
run33	10.9976000000	91.2500000000	0.1000000000	0.1101060000	0.1738830000	0.6848120000	0.4123620000	3.0147900000	-1067.0800000000	0.1262110000	0.1820900000	2.2275400000	2.0000000000	45.9850000000	149.8670000000	308	646
run34	8.5048400000	182.5000000000	0.0010000000	0.9067190000	0.3942240000	0.1709440000	0.7281380000	2.7584600000	-1062.9900000000	0.1488160000	0.3205700000	1.9270600000	1.0000000000	47.0782000000	120.6490000000	190	656
run35	11.6408000000	182.5000000000	0.0100000000	0.9812140000	0.3218370000	0.5774020000	0.3345270000	3.1832300000	-1075.1300000000	0.2127760000	0.1911190000	1.9325100000	3.0000000000	48.2440000000	156.8560000000	308	641
run36	9.2905600000	91.2500000000	0.0100000000	0.8007790000	0.9853510000	0.5390010000	0.1783830000	3.2571200000	-1073.3800000000	0.0198143000	0.1521100000	1.9043500000	2.0000000000	44.2137000000	110.4190000000	308	646
run37	8.9423800000	91.2500000000	0.0100000000	0.1366860000	0.6257250000	0.0554993000	0.2923310000	3.1619900000	-1066.4600000000	0.2822700000	0.2798130000	1.8107200000	3.0000000000	47.3699000000	281.7070000000	365	550
run38	12.7491000000	182.5000000000	0.0100000000	0.3706910000	0.8817300000	0.3664050000	0.2265970000	2.9048000000	-1064.6600000000	0.1317180000	0.2209830000	1.9866400000	2.0000000000	45.0609000000	121.7540000000	308	646
run39	13.4519000000	182.5000000000	0.0010000000	0.0109075000	0.9623260000	0.4346100000	0.1467310000	2.7077300000	-1063.6800000000	0.2138680000	0.1442300000	1.8923200000	2.0000000000	32.3627000000	206.1800000000	708	302
run40	9.9273600000	365.0000000000	0.0010000000	0.1559710000	0.1483070000	0.8114830000	0.2885560000	2.6985400000	-1074.9700000000	0.1471070000	0.2405000000	1.9829000000	3.0000000000	40.5484000000	246.5010000000	521	435
run41	13.0013000000	365.0000000000	0.0100000000	0.5794540000	0.8492120000	0.9833190000	0.5508730000	2.6795300000	-1064.5600000000	0.2021730000	0.1938230000	2.1909300000	3.0000000000	48.2232000000	295.0260000000	191	646
run42	10.8706000000	365.0000000000	0.0010000000	0.8656790000	0.8389890000	0.9090760000	0.1543710000	3.3112800000	-1068.8300000000	0.2676470000	0.1423660000	1.9535500000	2.0000000000	40.4465000000	102.2220000000	421	641
run43	5.5794300000	365.0000000000	0.0010000000	0.4388540000	0.2236500000	0.9113850000	0.1703810000	2.8847400000	-1062.1800000000	0.2320290000	0.2062880000	1.8309900000	1.0000000000	34.2195000000	275.3040000000	557	433
run44	7.3943800000	365.0000000000	0.1000000000	0.8762810000	0.2431370000	0.3385330000	0.5972170000	3.3847600000	-1061.2800000000	0.3062630000	0.1688300000	2.1056600000	1.0000000000	36.3820000000	107.8190000000	523	435
run45	7.3165500000	182.5000000000	0.1000000000	0.1768900000	0.3316860000	0.8545250000	0.5410440000	3.1381900000	-1069.4300000000	0.1398020000	0.2810080000	2.0216800000	1.0000000000	33.3900000000	260.0570000000	806	229
run46	12.9937000000	91.2500000000	0.0100000000	0.2333080000	0.1829570000	0.6175150000	0.2446590000	3.2470600000	-1063.5700000000	0.1759260000	0.2295980000	1.8967200000	2.0000000000	47.9150000000	192.2390000000	191	654
run47	9.5251600000	365.0000000000	0.0010000000	0.5427240000	0.7023940000	0.7757250000	0.5164200000	2.8971800000	-1063.8200000000	0.2055290000	0.2717610000	2.0516900000	1.0000000000	32.9652000000	207.7360000000	809	319
